"Hierarchy","Chart","Block","Block comment","Create block icon","Block icon","OCM possible","Readback allowed","Block group","Block type",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","M850","drive release stretcher","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R601","act. value contr. signal [kN/m](WT)","1","","0","1","","F_R_FR",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R602","act. value comp. signal [kN/m](WT)","1","","0","1","","F_R_FR",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R611","act. value contr. signal [kN](WT)","1","","0","1","","F_ADD_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R612","act. value comp. signal [kN](WT)","1","","0","1","","F_ADD_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R816","maximum working setpoint","1","","0","1","","F_ADD_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R817","maximum working range","1","","0","1","","F_ADD_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R821","minimum working setpoint","1","","0","1","","F_ADD_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","R822","minimum working range","1","","0","1","","F_SUB_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","RS_7111","F_:RS-Flipflop","1","","0","1","","F_RS_FF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44_S","SUB_7111","F_:Subtraction of two REAL","1","","0","1","","F_SUB_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","CMP_7113","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","D52","control signal [kN](WT)","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","D53","comp. signal [kN](WT)","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","I51","F_REAL to REAL Converter","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","I52","F_REAL to REAL Converter","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","IPL_7051","nonlinear function with 16 controlpoints","1","","0","1","","VP_POLYGON",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","IPL_7052","nonlinear function with 16 controlpoints","1","","0","1","","VP_POLYGON",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M201","actual value fault contr. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M202","actual value fault comp. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M211","fabric tension > low contr. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M212","fabric tension > low comp. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M213","fabric tension > low","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M216","fabric tension < high contr. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M217","fabric tension < high comp. signal","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M218","fabric tension < max","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M219","actual value fault deviation","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","M250","drive release stretcher","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","MSG","21- DG02 bottom fabric run tension measurement","1","WCC_Stat","1","1","","VP_MSG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","MSG1","21- DG02 bottom fabric run tension measurement","1","WCC_Stat","1","1","","VP_MSG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","Q51","Analog Output","1","","0","1","","CH_AO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","R201","actual value control signal","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","R216","maximum working setpoint","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","R221","minimum working setpoint","1","","0","1","","F_FR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","SELR_013a1","","1","","0","1","","SEL_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K44","WR_R","21- dryer group 2 bottom fabric run tension measurement","1","","1","1","","VP_WR_R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND1","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND2","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7141","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7142","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7143","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7144","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7145","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7146","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","AND_7161","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_FAULT","Channel Fault","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_FAULT_FS1","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_FAULT_FS2","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_WARN","Channel Warning","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_WARN_FS1","Channel Warning","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","CHN_WARN_FS2","Channel Warning","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","EXOR_7151","F_:EXOR 2 Inputs","1","","0","1","","F_XOR2",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_ACK_7101","F_:Acknowledgement for push buttons in safety functions","1","","0","1","","VP_F_SWA",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_ACK_7102","F_:Acknowledgement for push buttons in safety functions","1","","0","1","","VP_F_SWA",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_ACK_7103","F_:Acknowledgement for push buttons in safety functions","1","","0","1","","VP_F_SWA",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_OR1","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_OR2","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_OR3","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_SWI_7101","F_:Safety relevant dual channel switch monitoring","1","","0","1","","VP_F_SWI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_SWI_7102","F_:Safety relevant dual channel switch monitoring","1","","0","1","","VP_F_SWI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_SWI_7103","F_:Safety relevant dual channel switch monitoring","1","","0","1","","VP_F_SWI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_SWI_7111","F_:Safety relevant dual channel switch monitoring","1","","0","1","","VP_F_SWI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","FS_SWI_7112","F_:Safety relevant dual channel switch monitoring","1","","0","1","","VP_F_SWI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I01","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I02","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I03","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I04","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I05","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I06","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I07","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I11","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I12","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I13","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","I14","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M601","slack 1 (PB)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M602","slack 2 (PB)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M603","stretch 1 (PB)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M604","stretch 2 (PB)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M605","remote control on (SW)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M606","remote control off (SW)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M611","limit position stretch not reach 1 (GS)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M611_TOff","F_:Timer Switch Off Delay","1","","0","1","","F_TOF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M612","limit position stretch not reach 2 (GS)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M612_TOff","F_:Timer Switch Off Delay","1","","0","1","","F_TOF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M613","limit position slack not reach 1 (GS)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M613_TOff","F_:Timer Switch Off Delay","1","","0","1","","F_TOF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M614","limit position slack not reach 2 (GS)","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M614_TOff","F_:Timer Switch Off Delay","1","","0","1","","F_TOF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M623","FB contactor permission off","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M713","permission auto slack","1","","0","1","","F_BO_FBO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M714","permission auto stretch","1","","0","1","","F_BO_FBO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M731","command motor start stretch","1","","0","1","","F_BO_FBO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M732","command motor start slack","1","","0","1","","F_BO_FBO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M821","command motor permission ccw","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M822","command motor permission cw","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M823","command motor permission","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M831","slack (PB)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M832","fault PB slack","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M833","stretch (PB)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M834","fault PB stretch","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M835","remote adjustment on (SW)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M836","fault SW rem. adjustment on","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M837","limit position stretch not reached (GS)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M838","fault limit position stretch not reach (GS)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M839","limit position slack not reached (GS)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M840","fault limit position slack not reach (GS)","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M843","contactor fault","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M844","permission slack","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M845","permission stretch","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M851","start slack","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M852","start stretch","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","M855","permission auto","1","","0","1","","F_AND4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","OR1","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","OR2","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","OR_7141","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","OR_7142","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","OR_7161","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","Q21","F_:Fail-safe Channel Driver Digital Output","1","","0","1","","F_CH_DO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","Q22","F_:Fail-safe Channel Driver Digital Output","1","","0","1","","F_CH_DO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","Q23","F_:Fail-safe Channel Driver Digital Output","1","","0","1","","F_CH_DO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","RS_7151","F_:RS-Flipflop","1","","0","1","","F_RS_FF",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","TOn_7151","F_:Timer Switch On Delay","1","","0","1","","F_TON",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_S","TOn_7161","F_:Timer Switch On Delay","1","","0","1","","F_TON",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","CURRENT","4 limits, delay-time","0","","1","1","","VP_LIMIT_4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","CURRENT_INPUT","Motor current % -> Abs","1","","0","1","","VP_CURR",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","DPDRIVER","21- DG02 bottom fabric run tension movement","1","","1","1","","VP_G120_H",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","GROUP_FAULT","Logical OR with 4 inputs","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","MOTOR_STATUS","motor binary values","1","","0","1","","VP_DUMMY_16BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","MOTOR_VALUES","motor analog values","1","","0","1","","VP_DUMMY_8R",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","POWER","4 limits, delay-time","0","","1","1","","VP_LIMIT_4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","POWER_INPUT","Power % -> Abs","1","","0","1","","VP_CURR",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","R_I_CURRENT","REAL-INT-Converter","1","","0","1","","R_I",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","R_I_POWER","REAL-INT-Converter","1","","0","1","","R_I",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","R_I_TORQUE","REAL-INT-Converter","1","","0","1","","R_I",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","Reset","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","SIM_ON","Logical OR with 4 inputs","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","TORQUE","4 limits, delay-time","0","","1","1","","VP_LIMIT_4",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","TORQUE_INPUT","Torque % -> Abs","1","","0","1","","VP_CURR",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","WARNING","Logical OR with 4 inputs","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14_M","WARNING_MAINT_M","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","ADD_0101","Adder with 4 values","1","","0","1","","Add04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","ADD_0102","Adder with 4 values","1","","0","1","","Add04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0101","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0102","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_010a1","Ramp_In+","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_010a2","Ramp_In-","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0111","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0112","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0121","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","AND_0161","Logical AND with 4 inputs","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CHN_WARN1","Logical OR with 8 inputs","1","","0","1","","Or08",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CMP_0101","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CMP_0102","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CMP_0103","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CMP_0104","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","CMP_0105","Compare with tolerance and hysteresis","1","","0","1","","VP_DEV",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","DA05","not in auto fault","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","DA31","runtime fault","1","","0","1","","VP_TIMER",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","HIC","manual controller","1","","0","1","","vphic",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","LOCK_INTERN","Only for displaying the internal lock reason in the faceplate (QSTAB,POSF,TORQF)","1","","1","1","","VP_LOCK8ACK",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M121","MCC ready","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M122","FB motor runs direction slack","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M123","FB motor runs direction stretch","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M201","setpoint decrease (PB)","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M202","setpoint increase (PB)","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M203","SP auto","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M204","SP manual","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M221","command motor permission ccw","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M222","command motor permission cw","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M232","fault PB slack","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M234","fault PB stretch","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M236","fault SW rem. adjustment on","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M237","not stretched (GS)","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M238","fault limit position stretch not reached (GS)","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M239","not slacked (GS)","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M240","fault limit position slack not reached","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M243","contactor fault","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M244","permission slack","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M245","permission stretch","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M251","start slack","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M252","start stretch","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M255","permission auto","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M301","auto slack","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M302","slacking not finished","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M303","auto stretch","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M304","stretching not finished","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M311","auto mode active","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M313","permission auto slack","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M314","permission auto stretch","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M322","command motor start ccw","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M331","command motor start cw","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M350","change local display to SP","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M351","Feedback errors","1","","0","1","","And04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M371","runtime fault","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","M724","remote adjustment on (SW)","1","","0","1","","F_FBO_BO",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","MOTp","21- dryer group 2 bottom gabric run tension movement","1","","1","1","","VP_MOTp",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","MSG","21- DG02 bottom fabric run tension movement","1","WCC_Stat","1","1","","VP_MSG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","MSG1","21- DG02 bottom fabric run tension movement","1","WCC_Stat","1","1","","VP_MSG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","OP_TRIG_02","21- auto on","1","","1","1","","OP_TRIG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","OP_TRIG_03","21- manual on","1","","1","1","","OP_TRIG",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","OR_010a1","Logical OR with 4 inputs","1","","0","1","","Or04",
"DRYER SECTION\Dryer Group 01-03\","M1HH02DW01K14","OR_0111","Logical OR with 4 inputs","1","","0","1","","Or04",
